Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Brighton,English Premier League,J2,58%,83% — 449 of 543,25% — 3 of 12,33% — 1 of 3
Fulham,English Premier League,J2,53%,386 of 479 — 81%,3 of 13 — 23%,3 of 3 — 100%
Manchester Utd,English Premier League,J2,47%,80% — 348 of 433,33% — 3 of 9,66% — 2 of 3
Newcastle Utd,English Premier League,J2,38%,195 of 298 — 65%,3 of 10 — 30%,1 of 4 — 25%
Liverpool,English Premier League,J2,62%,82% — 390 of 478,80% — 4 of 5,33% — 1 of 3
Chelsea,English Premier League,J3,54%,453 of 531 — 85%,5 of 12 — 42%,1 of 1 — 100%
Fulham,English Premier League,J3,46%,80% — 369 of 459,9% — 1 of 11,80% — 4 of 5
Sunderland,English Premier League,J3,54%,349 of 447 — 78%,2 of 11 — 18%,2 of 3 — 66%
Brentford,English Premier League,J3,46%,77% — 288 of 375,43% — 3 of 7,50% — 1 of 2
Wolves,English Premier League,J3,58%,456 of 565 — 81%,4 of 12 — 33%,1 of 4 — 25%
Everton,English Premier League,J3,42%,73% — 294 of 402,40% — 4 of 10,50% — 2 of 4
Tottenham,English Premier League,J3,61%,421 of 527 — 80%,1 of 5 — 20%,5 of 6 — 83%
Bournemouth,English Premier League,J3,39%,66% — 219 of 330,30% — 6 of 20,100% — 1 of 1
Manchester Utd,English Premier League,J3,62%,440 of 548 — 80%,5 of 25 — 20%,1 of 3 — 33%
Burnley,English Premier League,J3,38%,69% — 231 of 335,50% — 3 of 6,80% — 4 of 5
Leeds United,English Premier League,J3,43%,348 of 449 — 78%,1 of 10 — 10%,2 of 2 — 100%
Newcastle Utd,English Premier League,J3,57%,83% — 491 of 592,25% — 2 of 8,100% — 1 of 1
Brighton,English Premier League,J3,37%,251 of 340 — 74%,6 of 11 — 55%,2 of 3 — 66%
Manchester City,English Premier League,J3,63%,87% — 513 of 589,25% — 3 of 12,83% — 5 of 6
Lecce,Italian Serie A,J11,60%,318 of 457 — 70%,6 of 11 — 55%,2 of 2 — 100%
Hellas Verona,Italian Serie A,J11,40%,64% — 197 of 307,40% — 2 of 5,100% — 6 of 6
Nott'ham Forest,English Premier League,J3,58%,491 of 596 — 82%,3 of 11 — 27%,5 of 7 — 71%
West Ham,English Premier League,J3,42%,81% — 344 of 425,64% — 7 of 11,100% — 3 of 3
Liverpool,English Premier League,J3,53%,386 of 465 — 83%,3 of 9 — 33%,1 of 1 — 100%
Arsenal,English Premier League,J3,47%,80% — 327 of 411,9% — 1 of 11,66% — 2 of 3
Aston Villa,English Premier League,J3,59%,503 of 586 — 86%,4 of 13 — 31%,1 of 3 — 33%
Crystal Palace,English Premier League,J3,41%,83% — 342 of 414,60% — 3 of 5,100% — 4 of 4
Arsenal,English Premier League,J4,54%,434 of 517 — 84%,5 of 16 — 31%,1 of 1 — 100%
Nott'ham Forest,English Premier League,J4,46%,83% — 373 of 448,20% — 1 of 5,40% — 2 of 5
Crystal Palace,English Premier League,J4,56%,439 of 539 — 81%,6 of 14 — 43%,0 of 0 — %
Sunderland,English Premier League,J4,44%,77% — 332 of 430,0% — 0 of 6,100% — 6 of 6
Everton,English Premier League,J4,49%,308 of 391 — 79%,2 of 20 — 10%,1 of 1 — 100%
Aston Villa,English Premier League,J4,51%,80% — 329 of 411,14% — 1 of 7,100% — 2 of 2
Fulham,English Premier League,J4,54%,408 of 504 — 81%,3 of 5 — 60%,3 of 3 — 100%
Leeds United,English Premier League,J4,46%,78% — 332 of 426,30% — 3 of 10,100% — 3 of 3
Newcastle Utd,English Premier League,J4,57%,400 of 509 — 79%,4 of 16 — 25%,3 of 3 — 100%
Wolves,English Premier League,J4,43%,74% — 286 of 384,38% — 3 of 8,75% — 3 of 4
Bournemouth,English Premier League,J4,51%,330 of 434 — 76%,4 of 12 — 33%,1 of 2 — 50%
Brighton,English Premier League,J4,49%,76% — 314 of 415,33% — 2 of 6,75% — 3 of 4
West Ham,English Premier League,J4,36%,262 of 340 — 77%,4 of 7 — 57%,2 of 5 — 40%
Tottenham,English Premier League,J4,64%,83% — 493 of 595,36% — 5 of 14,100% — 4 of 4
Como,Italian Serie A,J11,74%,586 of 686 — 85%,6 of 10 — 60%,2 of 2 — 100%
Cagliari,Italian Serie A,J11,26%,67% — 165 of 246,50% — 2 of 4,100% — 6 of 6
Brentford,English Premier League,J4,34%,236 of 324 — 73%,4 of 7 — 57%,4 of 6 — 66%
Chelsea,English Premier League,J4,66%,88% — 543 of 617,38% — 6 of 16,50% — 2 of 4
